seq,train_no,train_type,service_type,direction,origin,dep_time,dest,arr_time,sched_duration,distance_km,days_kor,main_line_kor,note,dep_time_parsed,arr_time_parsed,sched_dur_sec,avg_speed_kmh,days_en,main_line_norm,overnight_flag
83,3131,화물,정기,하,오봉,11:49:00,제천조차장,15:28:00,3:39:00,216.6,일월화수목금토,충북선,,11:49:00,15:28:00,13140,59.342465753424655,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
84,3132,화물,정기,상,제천조차장,11:55:00,오봉,15:39:00,3:44:00,216.6,일월화수목금토,충북선,,11:55:00,15:39:00,13440,58.01785714285714,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
85,3133,화물,정기,하,오봉,12:40:00,동해,22:36:00,9:56:00,377.6,일월화수목금토,충북선,,12:40:00,22:36:00,35760,38.013422818791945,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
86,3134,화물,정기,상,동해,7:50:00,오봉,16:32:00,8:42:00,380.6,일월화수목금토,충북선,,07:50:00,16:32:00,31320,43.74712643678161,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
87,3135,화물,정기,하,오봉,13:50:00,도담,18:08:00,4:18:00,234.8,일월화수목금,충북선,,13:50:00,18:08:00,15480,54.6046511627907,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Chungbuk Line,0
88,3136,화물,정기,상,제천조차장,15:00:00,오봉,18:43:00,3:43:00,216.6,일월화수목금토,충북선,,15:00:00,18:43:00,13380,58.27802690582959,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
89,3137,화물,정기,하,오봉,14:25:00,제천조차장,18:03:00,3:38:00,216.6,일월화수목금토,충북선,,14:25:00,18:03:00,13080,59.61467889908257,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
90,3138,화물,정기,상,입석리,16:15:00,오봉,20:36:00,4:21:00,232.6,일월화수목금,충북선,,16:15:00,20:36:00,15660,53.4712643678161,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Chungbuk Line,0
91,3139,화물,정기,하,오봉,19:01:00,입석리,22:55:00,3:54:00,232.6,일월화수목금토,충북선,,19:01:00,22:55:00,14040,59.64102564102564,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
92,3140,화물,정기,상,도담,20:05:00,오봉,23:57:00,3:52:00,234.8,일월화수목금토,충북선,,20:05:00,23:57:00,13920,60.724137931034484,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
93,3141,화물,정기,하,오봉,15:45:00,도담,19:37:00,3:52:00,234.8,일월화수목금토,충북선,,15:45:00,19:37:00,13920,60.724137931034484,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
94,3142,화물,정기,상,도담,20:30:00,오봉,0:47:00,4:17:00,234.8,일월화수목금토,충북선,,20:30:00,00:47:00,15420,54.8171206225681,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,1
95,3171,화물,정기,하,제천조차장,8:35:00,동산,13:09:00,4:34:00,257.6,일월화수목금토,전라선,,08:35:00,13:09:00,16440,56.4087591240876,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jeolla Line,0
96,3172,화물,정기,상,동산,14:10:00,제천조차장,18:47:00,4:37:00,257.6,일월화수목금토,전라선,,14:10:00,18:47:00,16620,55.79783393501806,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Jeolla Line,0
97,3181,화물,정기,하,대전조차장,2:14:00,제천조차장,4:32:00,2:18:00,152.1,월화수목금,충북선,,02:14:00,04:32:00,8280,66.1304347826087,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Chungbuk Line,0
98,3182,화물,정기,상,제천조차장,4:27:00,대전조차장,7:13:00,2:46:00,152.1,일월화수목금토,충북선,,04:27:00,07:13:00,9960,54.97590361445783,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
99,3183,화물,정기,하,대전조차장,6:45:00,제천조차장,9:34:00,2:49:00,152.1,일월화수목금토,충북선,,06:45:00,09:34:00,10140,53.99999999999999,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
100,3184,화물,정기,상,입석리,2:45:00,대전조차장,6:07:00,3:22:00,168.1,일월화수목금토,충북선,,02:45:00,06:07:00,12120,49.930693069306926,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
101,3185,화물,정기,하,대전조차장,10:35:00,입석리,13:58:00,3:23:00,168.1,월화수목금,충북선,,10:35:00,13:58:00,12180,49.68472906403941,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Chungbuk Line,0
102,3186,화물,정기,상,제천조차장,6:15:00,흑석리,9:23:00,3:08:00,169.4,월화수목금,충북선,,06:15:00,09:23:00,11280,54.06382978723404,"['Mon', 'Tue', 'Wed', 'Thu', 'Fri']",Chungbuk Line,0
103,3187,화물,정기,하,대전조차장,10:15:00,도담,13:24:00,3:09:00,170.3,일월화수목금토,충북선,,10:15:00,13:24:00,11340,54.06349206349207,"['Sun', 'Mon', 'Tue', 'Wed', 'Thu', 'Fri', 'Sat']",Chungbuk Line,0
